maxIter,layer,blockSize,acc,f1,precision,recall
100,"[7, 4, 2]",16,0.7828571428571428,0.6910569105691057,0.7589285714285714,0.6343283582089553
100,"[7, 4, 2]",64,0.46285714285714286,0.584070796460177,0.41509433962264153,0.9850746268656716
100,"[7, 4, 2]",128,0.7857142857142857,0.6835443037974683,0.7864077669902912,0.6044776119402985
100,"[7, 4, 2]",256,0.7857142857142857,0.6835443037974683,0.7864077669902912,0.6044776119402985
100,"[7, 8, 4, 2]",16,0.7542857142857143,0.6640625,0.6967213114754098,0.6343283582089553
100,"[7, 8, 4, 2]",64,0.5714285714285714,0.576271186440678,0.4636363636363636,0.7611940298507462
100,"[7, 8, 4, 2]",128,0.7628571428571429,0.6556016597510373,0.7383177570093458,0.5895522388059702
100,"[7, 8, 4, 2]",256,0.7628571428571429,0.6556016597510373,0.7383177570093458,0.5895522388059702
100,"[7, 32, 64, 16, 2]",16,0.7542857142857143,0.6838235294117647,0.6739130434782609,0.6940298507462687
100,"[7, 32, 64, 16, 2]",64,0.5828571428571429,0.5921787709497207,0.4732142857142857,0.7910447761194029
100,"[7, 32, 64, 16, 2]",128,0.7914285714285715,0.7068273092369478,0.7652173913043478,0.6567164179104478
100,"[7, 32, 64, 16, 2]",256,0.7914285714285715,0.7068273092369478,0.7652173913043478,0.6567164179104478
